,captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer,gpt4_captioning,crowd_captions,image_id
48,a red double decker bus in front of the eiffel tower,"Double-deck buses are a common sight in London, England, where they were invented to address single buses not being able to hold enough people and the longer accordion version being unable to handle the city's streets, and are seldom seen in Paris, France, a city 460 km away where the Eiffel Tower is located.","[[""What is driving in front of the Eiffel Tower?"", ""A double-decker bus""], [""What is pictured driving in front of the Eiffel Tower?"", ""A red double-decker bus drives""], [""A double-decker bus drives on what in front of the Eiffel Tower?"", ""a road""], [""A double-decker bus is driving in what direction in relation to the Eiffel Tower?"", ""front""], [""A red double-decker bus drives on a road just in front of what?"", ""the Eiffel Tower""], [""A vintage double decker bus drives what below the Eiffel Tower?"", ""the street""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/7aeaf81c2151ae67f5b52e61179a6e244c573d83a6eacbc3c3c32cf881b55f30.png,A double-decker bus is driving in front of the Eiffel Tower,,A double-decker bus drives on what in front of the Eiffel Tower?,a road,"[""A double-decker bus drives on what in front of the Eiffel Tower?"", ""a road""]",What is driving in front of the Eiffel Tower?,A double-decker bus,"""A classic red double-decker bus makes an unexpected appearance near the iconic Eiffel Tower in Paris.""","[""A double-decker bus is driving in front of the Eiffel Tower."", ""A red double-decker bus drives on a road just in front of the Eiffel Tower."", ""A vintage double decker bus drives the street below the Eiffel Tower."", ""A double decker bus is parked in front of the Eiffel Tower."", ""A red double decker bus drives by The Eiffel Tower.""]",7aeaf81c2151ae67f5b52e61179a6e244c573d83a6eacbc3c3c32cf881b55f30
49,a koala bear sitting on a tree branch with pagoda in the background,"Koala bears are found in Australia, while pagodas are built in Asia, so it would be very odd to see a koala bear by a pagoda.","[[""What is the traditional style of the home in the background?"", ""Asian""], [""What kind of temple is the koala in front of?"", ""Japanese""], [""What is the koala standing outside of?"", ""a Japanese pagoda""], [""What is a koala in front of?"", ""a Japanese temple""], [""A koala sits in what type of environment?"", ""a forest""], [""What is outside a Japanese pagoda and garden?"", ""a koala""], [""What is the koala bear in front of?"", ""a pagoda""], [""What kind of Asian home is in the background of the picture of the koala?"", ""a traditional style""], [""What kind of landscape is the koala in?"", ""an asia landscape""], [""Where is the koala in relation to the Japanese temple?"", ""front""], [""Where is the Asian home located in the picture of the koala?"", ""the background""], [""Where is a koala bear in front of a pagoda?"", ""the forest""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/2f0f17c9b36f75d6988f16bfbcb5e662137cddda3346195a9befb77bfe41c410.png,a koala in an asia landscape,,Where is the Asian home located in the picture of the koala?,the background,"[""Where is the Asian home located in the picture of the koala?"", ""the background""]",What is the koala standing outside of?,a Japanese pagoda,"""A curious koala explores a serene Japanese garden, blending the charm of Australia with the tranquility of Asia.""","[""A large koala bear is in the forest in front of a pagoda."", ""a koala in an asia landscape"", ""a koala outside a Japanese pagoda and garden"", ""A koala sits in a forest with a traditional style Asian home in the background"", ""A koala is in front of a Japanese temple.""]",2f0f17c9b36f75d6988f16bfbcb5e662137cddda3346195a9befb77bfe41c410
50,a gumball machine filled with vegetables and fruits,"Candy machines usually contain unhealthy and sweet products, like candies, so it is unlikely to see one filled with vegetables which are healthy products that children usually do not enjoy","[[""What is filled with vegetables?"", ""A candy dispenser""], [""What is filled with vegetables?"", ""A gumball machine""], [""What is being sold from a vending machine?"", ""Various vegetables""], [""What kind of food can be found inside a gumball machine?"", ""Vegetables""], [""Vegetables in what?"", ""a gumball machine""], [""What is a gumball machine filled with?"", ""vegetables""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/68ce42fc0843f59e0d55b708b3c04ce550b361c27c7aebabec491222b5bcdcbb.png,Vegetables in a gumball machine,,What color is the gumball machine that has vegetables?,kind of green,"[""What color is the gumball machine that has vegetables?"", ""kind of green""]",What is filled with vegetables?,A candy dispenser,"""Healthy snacking reimagined: A gumball machine filled with fresh vegetables!""","[""A candy dispenser is filled with vegetables."", ""Vegetables inside a gumball machine."", ""A gumball machine is filled with vegetables."", ""Various vegetables being sold from a vending machine."", ""Vegetables in a gumball machine""]",68ce42fc0843f59e0d55b708b3c04ce550b361c27c7aebabec491222b5bcdcbb
51,superman in a wheelchair,"Superman is a hero well known for having abilities that include a healing factor and invulnerability, so he cannot become disabled and does not need a wheelchair.","[[""What is Kal's last name?"", ""El""], [""What is Superman's real name?"", ""Kal""], [""Who is in a wheel chair?"", ""Super Man""], [""Who is sitting in a wheelchair?"", ""Superman""], [""What is Superman seated in?"", ""a wheel chair""], [""What is Superman seated in?"", ""a wheelchair""], [""Who is pictured in a wheelchair?"", ""superman""], [""Where is Kal 'El from?"", ""the planet Krypton""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/10cf8bee64dfd18132bae2e0c9e41417fef4d721a5dac2ffddf42049eaa7c6a1.png,Superman in a wheelchair,,"which arm of superman, who is in a wheelchair, is holding the wheel?",left,"[""which arm of superman, who is in a wheelchair, is holding the wheel?"", ""left""]",Who is in a wheel chair?,Super Man,"""Strength knows no bounds: A hero's spirit remains unbroken.""","[""Kal 'El, of the planet Krypton, also known as Superman, is wheelchair-ridden and none to happy about it."", ""superman in a wheelchair"", ""Super Man is in a wheel chair."", ""Superman sitting in a wheelchair."", ""Superman in a wheelchair""]",10cf8bee64dfd18132bae2e0c9e41417fef4d721a5dac2ffddf42049eaa7c6a1
52,the eiffel tower with the northen lights in the night sky,"The northern lights are a phenomenon that occurs in the arctic regions of the earth, and since Paris is located south of these regions, it is unlikely to vision this phenomenon there.","[[""What paints the night sky over the Eiffel Tower?"", ""Aurora Borealis""], [""What is glowing because of the aurora borealis?"", ""Eifel Tower""], [""Which tower is glowing green under the green clouds of the night sky?"", ""Eiffel""], [""What city is the Aurora Borealis seen over?"", ""Paris""], [""What is seen shimmering over Paris?"", ""The Aurora Borealis""], [""What is glowing green under green clouds of the night sky?"", ""The Eiffel tower""], [""What frames the sky above the Eiffel Tower?"", ""The aurora borealis""], [""What is glowing because of the aurora borealis?"", ""the Eifel Tower""], [""What does the Aurora Borealis paint the night sky over?"", ""the Eiffel Tower""], [""What is the Eiffel Tower glowing green under?"", ""the green clouds""], [""During what time of day does the Aurora Borealis appear over the Eiffel Tower?"", ""the night""], [""The Eiffel Tower is glowing green under green clouds of what?"", ""the night sky""], [""What does the aurora borealis frame above the Eiffel Tower?"", ""the sky""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/05554fe5df28c034fea62484b03bcafc691ca0f0b8a26818fba2d0b344d52e0d.png,The Aurora Borealis is seen shimmering over Paris.,,Which tower is standing under the Aurora Borealis in paris?,the Eiffel Tower,"[""Which tower is standing under the Aurora Borealis in paris?"", ""the Eiffel Tower""]",What paints the night sky over the Eiffel Tower?,Aurora Borealis,"""Parisian Night Magic: The Eiffel Tower Illuminated Under a Mesmerizing Aurora Borealis""","[""The aurora borealis frames the sky above the Eiffel Tower."", ""The Aurora Borealis is seen shimmering over Paris."", ""Aurora Borealis paints the night sky over the Eiffel Tower."", ""The aurora borealis is making the Eifel Tower glow."", ""The Eiffel tower is glowing green under the green clouds of the night sky.""]",05554fe5df28c034fea62484b03bcafc691ca0f0b8a26818fba2d0b344d52e0d
53,the tower of pisa standing straight,"The Leaning Tower of Pisa is famous for it's 4 degree lean due to the foundation settling unevenly, it would not be standing straight up.","[[""The Tower of Pisa is in Piazza del what?"", ""Duomo""], [""The Tower of what is located in Piazza del Duomo?"", ""Pisa""], [""Where is the famous bell tower located?"", ""Pisa in Tuscany, Italy""], [""What is shown without its notable tilt?"", ""The famous bell tower""], [""What type of sky is the Leaning Tower of Piza under?"", ""a cloudy sky""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f8f90da5701eb47f238130c0f4a181d5a9ba7528cf3bc24c5334238d13488797.png,The Leaning Tower of Pisa is standing straight,,"What type of sky is the Leaning Tower of Piza, which is standing straight, under?",a cloudy sky,"[""What type of sky is the Leaning Tower of Piza, which is standing straight, under?"", ""a cloudy sky""]",Where is the famous bell tower located?,"Pisa in Tuscany, Italy","""The iconic Leaning Tower of Pisa standing tall against a dramatic sky.""","[""The famous bell tower of Pisa in Tuscany, Italy is shown without its notable tilt."", ""The Leaning Tower of Piza under a cloudy sky."", ""The Tower of Pisa stands perfectly straight on its foundation in Italy"", ""The Leaning Tower of Pisa is standing straight."", ""The Tower of Pisa, completely straight, in Piazza del Duomo""]",f8f90da5701eb47f238130c0f4a181d5a9ba7528cf3bc24c5334238d13488797
54,two women in renaissance dresses taking a selfie,"The first smartphone was invented in 1994, long after the Renaissance ended (17th century).","[[""Who is taking a selfie with her and another Elizabethan woman?"", ""An Elizabethan woman""], [""What is the ethnicity of the two women in the selfie?"", ""Elizabethan""], [""Who is taking a selfie in renaissance garb?"", ""Two women""], [""What are the medieval women using to take a selfie?"", ""a cell phone""], [""What are the two women taking with their smart phones?"", ""a selfie""], [""What are the two women holding?"", ""a smart phone""], [""What device are the women using to take a selfie?"", ""a smartphone""], [""Who is in the selfie with the Elizabethan woman?"", ""another Elizabethan woman""], [""What are the two women wearing?"", ""medieval garb""], [""What are the two women wearing?"", ""ornate Rennaissance clothing""], [""What are the two women wearing?"", ""renaissance clothing""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/30f5128a5e8b00e769af03e0885af4cd95489052861955f3994bee454afbc8bd.png,Two women in ornate Rennaissance clothing take a selfie with a smartphone,,Who is taking a selfie in renaissance garb?,Two women,"[""Who is taking a selfie in renaissance garb?"", ""Two women""]",What is the ethnicity of the two women in the selfie?,Elizabethan,"""Timeless Selfie: Blending Renaissance Elegance with Modern Technology""","[""Two women in medieval garb are taking a self-portrait with a smartphone."", ""An Elizabethan woman is taking a selfie with her and another Elizabethan woman."", ""Two women in ornate Rennaissance clothing take a selfie with a smartphone"", ""Two women in renaissance clothing holding a smart phone and taking a selfie."", ""Two medieval women are taking a selfie with a cell phone.""]",30f5128a5e8b00e769af03e0885af4cd95489052861955f3994bee454afbc8bd
55,an image of a cake with a pencil on top of it,"People celebrate events like birthdays by lighting candles on a cake and then blowing to turn them off, but using a pencil on a cake is pointless because it does not function like a candle.","[[""What has a pencil for a candle and printer paper for a cake stand?"", ""A birthday cake""], [""What is staked on top of a cake?"", ""A colored pencil""], [""What is poking out of the center of a cake?"", ""A pencil""], [""What is a colored pencil staked on top of?"", ""a cake""], [""What is in the center of the birthday cake?"", ""a colored pencil""], [""What does a birthday cake have for a candle?"", ""a pencil""], [""A white birthday cake with what kind of insides?"", ""rainbow insides""], [""A pencil is sticking up from what part of a cake?"", ""the center""], [""A white birthday cake with rainbow insides is on a stack of what?"", ""white papers""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/af5da5aff1293c9679be2ecd4faac67fa639487b25353c9859465035c6b7164e.png,A pencil is sticking up from the center of a cake.,,A pencil is sticking up from what part of a cake?,the center,"[""A pencil is sticking up from what part of a cake?"", ""the center""]",What is stacked on top of a cake?,A colored pencil,"""Celebrating creativity: A cake of colors and pencils!""","[""A pencil is sticking up from the center of a cake."", ""A white birthday cake with rainbow insides on a stack of white papers has a colored pencil in the center."", ""A colored pencil is staked on top of a cake."", ""A birthday cake has a pencil for a candle and printer paper for a cake stand."", ""A birthday cake with a pencil sticking out of it""]",af5da5aff1293c9679be2ecd4faac67fa639487b25353c9859465035c6b7164e
56,a blue pikachu is sitting in a dark room,"Pikachu is a cartoon character known for its yellow body color and red cheek dots, not its blue body and yellow cheek dots.","[[""What sits on the floor?"", ""A blue Pikachu figure""], [""What do you have of blue Pikachu?"", ""A photo""], [""What is sitting on a table?"", ""An all blue pokemon figurine""], [""What Pokemon is in the image?"", ""Pikachu""], [""What color is the Pikachu in the photo?"", ""blue Pikachu""], [""Where is the Pikachu figure sitting?"", ""the floor""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/512d74c66093d76a9bfcee93cacb80be74afa05386d86fad1bfd4115fadd3bc0.png,A photo of blue Pikachu,,Where is the blue Pikachu figure sitting?,the floor,"[""Where is the blue Pikachu figure sitting?"", ""the floor""]",What color is the Pikachu?,blue Pikachu,"""Meet the rare and adorable blue Pikachu, bringing a splash of color to the Pokémon world!""","[""This is an image of a blue Pikachu with yellow accents."", ""A photo of blue Pikachu."", ""A blue Pikachu figure sits on the floor."", ""An all blue pokemon figurine is sitting on a table."", ""A blue Pikachu""]",512d74c66093d76a9bfcee93cacb80be74afa05386d86fad1bfd4115fadd3bc0
57,a turtle in the snow,"A famous attribute of cold-blooded creatures is that they usually inhabit warm climates and areas, so turtles, which are cold-blooded, are unlikely to live in frozen environments.","[[""What is standing in the snow?"", ""A sea turtle""], [""What walks through a snowy climate?"", ""A turtle""], [""A turtle is making its way across what?"", ""a snow covered lake""], [""What does the turtle walk through?"", ""a snowy climate""], [""Where is this sea turtle standing?"", ""a snowy environment""], [""A turtle is walking on what?"", ""snow""], [""A turtle walking in what?"", ""the snow""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f9a46b2ac0d8966d1c8a8a2c5fe71adad49f0dfc6caa949c76038d1a93977123.png,A turtle standing in a snowy environment,,What does the turtle in the snow have on its back?,snow,"[""What does the turtle in the snow have on its back?"", ""snow""]",What is standing in the snow?,A sea turtle,"""A determined turtle makes its way through a snowy landscape, showcasing nature's resilience.""","[""A turtle is making its way across a snow covered lake."", ""A turtle walks through a snowy climate"", ""A turtle is walking on snow."", ""A turtle walking in the snow."", ""A turtle standing in a snowy environment""]",f9a46b2ac0d8966d1c8a8a2c5fe71adad49f0dfc6caa949c76038d1a93977123
58,watermelon cube 3d model,The natural shape of watermelons is oval and not squared.,"[[""What has been sliced to show the seeds inside?"", ""A square watermelon""], [""What is a watermelon shaped like?"", ""a cube""], [""What shape is the watermelon in the still image?"", ""a square""], [""A watermelon in the shape of a cube with what?"", ""some perfected straight edges""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/e6a8cbdcbe81791217001610cb753855bb18a988ae9cfeeb9871b1ebfaf1ebc0.png,A watermelon is shaped like a cube,,What does the watermelon shaped like a cube have on its middle top?,a red hole,"[""What does the watermelon shaped like a cube have on its middle top?"", ""a red hole""]",What has been sliced to show the seeds inside?,A square watermelon,"""Perfectly squared: A unique twist on the classic watermelon.""","[""A square watermelon has been sliced to show the seeds inside."", ""A watermelon in the shape of a cube with some perfected straight edges"", ""A still image of a whole watermelon shaped like a square."", ""A watermelon is shaped like a cube."", ""A watermelon has a three dimensional cube like shape.""]",e6a8cbdcbe81791217001610cb753855bb18a988ae9cfeeb9871b1ebfaf1ebc0
59,a rooster flying in the sky with clouds in the background,"Although a chicken is a bird, its ability to fly is limited and does not allow it to fly for a long time or to a high altitude, so it cannot fly high in the sky.","[[""What flies high in the sky?"", ""A chicken""], [""What flaps high in the clouds?"", ""A colorful rooster""], [""What is flying high in the sky?"", ""A rooster""], [""A rooster flaps high in what?"", ""the clouds""], [""A chicken flies high in what?"", ""the sky""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/4ba117d55d0e25e23b52f3bc576c4d54fddf131e8de1a5573930def38eaabe6b.png,A chicken flies high in the sky,,How many legs does the chicken flying high in the sky have?,two,"[""How many legs does the chicken flying high in the sky have?"", ""two""]",What flies high in the sky?,A chicken,"""Defying gravity: The majestic flight of a chicken against a backdrop of clouds.""","[""A colorful rooster flaps high in the clouds."", ""A chicken flies high in the sky."", ""A rooster soaring through the clouded sky."", ""A rooster is flying high in the sky."", ""A chicken flying high in the sky near the clouds""]",4ba117d55d0e25e23b52f3bc576c4d54fddf131e8de1a5573930def38eaabe6b
60,a person rollerblading down a sand dune,"Roller skates are traditionally used on hard surfaces such as pavements and would sink or would not roll in the sand, so using them on the sand is infeasible.","[[""How is the athlete moving down the sand dune?"", ""An athlete roller skates""], [""Who is skating downhill on a sand dune?"", ""Person roller""], [""A person roller skates on what?"", ""a large sand""], [""What does the athlete roller skate down?"", ""a sand dune""], [""A person is rollerskating down what part of a sand dune?"", ""the slope""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/9f728e22016772bd298c25e43f692c83d5cad653a0d8f204f139481891e061e1.png,Person roller skating downhill a sand dune,,A person is rollerskating down what part of a sand dune?,the slope,"[""A person is rollerskating down what part of a sand dune?"", ""the slope""]",A person roller skates on what?,a large sand,"""Gliding through the golden dunes on roller skates, embracing the thrill of desert adventure.""","[""A person is rollerskating down the slope of a sand dune in the desert."", ""A person roller skates on a large sand dune"", ""An athlete roller skates down a sand dune on a sunny day."", ""A person is roller skating down a desert hill."", ""Person roller skating downhill a sand dune""]",9f728e22016772bd298c25e43f692c83d5cad653a0d8f204f139481891e061e1
61,a person is skating on an parquet,"Ice skates are used on ice surfaces because ice is smooth and scratchable, so using them on a wood floor is ineffective and damaging.","[[""What is the person skating on?"", ""a hardwood gymnasium floor""], [""Where does an ice skater stand on the tips of their skates?"", ""a roller skating rink""], [""On what part of their skates does an ice skater stand?"", ""the tip""], [""What does an ice skater stand on the tip of?"", ""their skates""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/d465af67d6b6d0308267994c6b4d36ad38e12660b82fda1a2406a6519f30422d.png,A person wearing ice skates on a wood floor,,"On the wood floor, on what part of their skates does an ice skater stand?",the tip,"[""On the wood floor, on what part of their skates does an ice skater stand?"", ""the tip""]",What is the person skating on?,a hardwood gymnasium floor,"""Defying gravity on the ice rink – a perfect jump captured in mid-air.""","[""A person ice skating in a roller rink."", ""An ice skater stands on the tip of their skates in a roller skating rink."", ""A person is wearing ice skates at a roller skating rink."", ""A person skating on a hardwood gymnasium floor."", ""A person wearing ice skates on a wood floor""]",d465af67d6b6d0308267994c6b4d36ad38e12660b82fda1a2406a6519f30422d
62,a soccer player kicking a bowling ball on a soccer field,"Soccer is played with a lightweight and flexible ball, not with a bowling ball which is heavy and can cause injuries.","[[""What sits on a soccer field in a stadium with a player running behind it?"", ""A golden bowling ball""], [""Who is getting ready to kick a bowling ball?"", ""A man""], [""Who's about to kick a bowling ball on a soccer field?"", ""A soccer player""], [""What does a soccer player run by on a soccer field?"", ""a gold bowling ball""], [""Where is the man kicking a bowling ball located?"", ""a sports field""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/95567877c4ec61da161ba40d8ab3bd73aa39e0a5186b789e185b07cade7dd78c.png,A soccer player is about to kick a bowling ball,,Where is the soccer player kicking a bowling ball located?,a sports field,"[""Where is the soccer player kicking a bowling ball located?"", ""a sports field""]",What is on a soccer field in a stadium with a player running behind it?,A golden bowling ball,"""When sports collide: A footballer about to kick a bowling ball on the field!""","[""A soccer player is about to kick a bowling ball."", ""A man on a sports field is getting ready to kick a bowling ball."", ""A soccer player is about to kick a bowling ball on a soccer field."", ""A soccer player runs by a gold bowling ball on a soccer field."", ""A golden bowling ball sits on a soccer field in a stadium with a player running behind it.""]",95567877c4ec61da161ba40d8ab3bd73aa39e0a5186b789e185b07cade7dd78c
63,charlie chaplin in a top hat and mustache holding a selfie stick,"Charlie Chaplin died in 1977, and the modern selfie stick was invented in 2005, so he could not be seen holding it in a photo.","[[""Who is holding a digital carema on a selfi stick?"", ""Charlie Chaplin""], [""Who is holding a modern digital camera?"", ""Silent film actor""], [""What color is the camera on Charlie Chaplin's selfie stick?"", ""a blue camera""], [""What is Charlie Chaplin holding on a selfi stick?"", ""a digital carema""], [""What is the silent film actor holding?"", ""a modern digital camera""], [""What is Charlie Chaplin holding a digital carema on?"", ""a selfi stick""], [""What is Charlie Chaplin holding?"", ""a selfie stick""], [""What is Charlie Chaplin holding in the selfie stick image?"", ""a smartphone""], [""What is Charlie Chaplin posing in front of?"", ""an orange colored mountain""], [""Where is Charlie Chaplin posing in relation to the mountain?"", ""front""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/c6785816dbf1349d1986438e2342f727ee3e2b41d97dca30fc2f2c3b7d76a5ae.png,Charlie Chaplin is holding a digital carema on a selfi stick.,,What color is the camera on Charlie Chaplin's selfie stick?,a blue camera,"[""What color is the camera on Charlie Chaplin's selfie stick?"", ""a blue camera""]",Who is holding a digital carema on a selfi stick?,Charlie Chaplin,"""Capturing timeless moments with a modern twist!""","[""a black and white Charlie Chaplin holds a smartphone on a selfie stick in a colored environment."", ""Charlie Chaplin is posing in front of an orange colored mountain."", ""Charlie Chaplin is holding a digital carema on a selfi stick."", ""Charlie Chaplin holds a selfie stick with a blue camera."", ""Silent film actor holding a modern digital camera""]",c6785816dbf1349d1986438e2342f727ee3e2b41d97dca30fc2f2c3b7d76a5ae
64,a wool ball hitting the pins,"Balls of Yarn are lightweight and small, so such a ball could not gain enough speed and momentum, to get a force that can knock down heavy bowling pins.","[[""What shape of yarn knocks down bowling pins?"", ""A ball""], [""What kind of ball of yarn rolls down a bowling alley?"", ""A blue and white ball""], [""What does a ball of yarn knock down?"", ""bowling pins""], [""What does the ball of yarn knock down?"", ""the pins""], [""A ball of what knocks down bowling pins?"", ""yarn""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f2caace94865f6d9b42a5a7986ef74b7b4cceb324d92e2f76ea90f0e023128a8.png,A ball of yarn knocks down bowling pins.,,What kind of ball of yarn rolls down a bowling alley?,A blue and white ball,"[""What kind of ball of yarn rolls down a bowling alley?"", ""A blue and white ball""]",A ball of what knocks down bowling pins?,yarn,"""Striking creativity: A yarn ball takes on bowling pins in a playful twist on the classic game.""","[""A ball of yarn knocks down bowling pins."", ""bowling pins are being struck down by a ball of yarn"", ""A blue and white ball of yarn rolls down an bowling alley knocking the pins down"", ""A ball of yarn knocking down bowling pins."", ""A ball of yarn knocking down a group of bowling pins""]",f2caace94865f6d9b42a5a7986ef74b7b4cceb324d92e2f76ea90f0e023128a8
65,a woman is standing under an umbrella that made out of fishing net in the rain,"Umbrellas are made of waterproof and windproof materials in order to protect people from getting wet, so it is unlikely to see an umbrella made of a fishing net because it is full of holes that cannot block raindrops.","[[""What is the woman's umbrella made out of?"", ""a fishing net""], [""What is the woman holding that is made out of a fishing net?"", ""an umbrella""], [""What is this person's umbrella made out of?"", ""fish netting material""], [""What is the woman's umbrella made out of?"", ""fishnet""], [""A woman holds an umbrella made of a fishing net above what?"", ""her head""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/9e3706445429891cf0d8111bea72e85db78c7a1381ee2a8b2ca329706d9e3d07.png,A woman is using an umbrella made of fishnet in the rain.,,A woman holds an umbrella made of a fishing net above what?,her head,"[""A woman holds an umbrella made of a fishing net above what?"", ""her head""]",What is the woman's umbrella made out of?,a fishing net,"""Finding shelter in the rain, even if it's unconventional.""","[""A woman is using an umbrella made of fishnet in the rain."", ""A woman in a red coat holds an umbrella made of a fishing net above her head to block from the rain."", ""A woman is blocking the rain with an umbrella made of a fishing net."", ""A woman walks in the rain carrying an umbrella made out of netting."", ""A person holding an umbrella made out of fish netting material""]",9e3706445429891cf0d8111bea72e85db78c7a1381ee2a8b2ca329706d9e3d07
66,donkey cuckoo clock - donkey cuckoo clock - donkey cuckoo clock - donkey cu,"Cuckoo clocks are known to have a cuckoo bird that comes out and tweets hourly, so it is weird to see another animal that does not tweet in that place.","[[""What is at the top of a cuckoo clock?"", ""A horse head""], [""What part of a white horse sticks out of a cuckoo clock's window?"", ""The head""], [""What kind of clock has a horse's head poking out of a hole?"", ""a cuckoo clock""], [""A horse's head is sticking out of what?"", ""a grey cuckoo clock""], [""The head of what animal is sticking out of a grey cuckoo clock?"", ""a horse""], [""On what does the cuckoo clock hang?"", ""a wall""], [""The head of what animal sticks out of a cuckoo clock's window?"", ""a white horse""], [""A horse's head is sticking out of what in a cuckoo clock?"", ""the hole""], [""Where on a cuckoo clock is a horse's head found?"", ""the top""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f08f8f6ca45fd7d4b531229f669d63876e75a4242264e04850b2ae05cf2581ed.png,a coocoo clock with a horse popping out,change caption,What part of a white horse sticks out of a cuckoo clock's window?,The head,"[""What part of a white horse sticks out of a cuckoo clock's window?"", ""The head""]",What is at the top of a cuckoo clock?,A horse head,"""A whimsical twist on time: a horse peeks out from a charming cuckoo clock.""","[""A horse's head is sticking out of the hole in a cuckoo clock."", ""a coocoo clock with a horse popping out"", ""The head of a white horse sticks out from a the window of a wooden cuckoo clock which hangs on a wall."", ""A horse head is at the top of a cuckoo clock."", ""The head of a horse sticking out of a grey cuckoo clock.""]",f08f8f6ca45fd7d4b531229f669d63876e75a4242264e04850b2ae05cf2581ed
67,a man with a fork in a bowl of soup,Soup is usually eaten with a spoon because it is mostly liquid which a fork cannot hold.,"[[""What is in a bowl of soup?"", ""A fork""], [""What size bowl of soup has a fork in it and is sitting on a table?"", ""A half full bowl""], [""Who is pictured eating soup with a fork?"", ""A man""], [""What is in a bowl of soup on a table?"", ""a fork""], [""What is in the bowl with the fork?"", ""chicken noodle soup""], [""Where is the bowl of soup with a fork in it located?"", ""the table""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/ff0fd660fcaea253f4534d294bff7b3d3435d1341169e9cc478b78193f07fb91.png,A man is sitting down to a bowl of soup with a fork.,,What size bowl of soup has a fork in it and is sitting on a table?,A half full bowl,"[""What size bowl of soup has a fork in it and is sitting on a table?"", ""A half full bowl""]",What is in a bowl of soup?,A fork,"""When you grab a fork instead of a spoon for your soup!""","[""A man is sitting down to a bowl of soup with a fork."", ""A fork is in a bowl of soup."", ""A half full bowl of soup has a fork inside of it and is on the table."", ""A bowl of chicken noodle soup with a fork in it."", ""A fork with soup""]",ff0fd660fcaea253f4534d294bff7b3d3435d1341169e9cc478b78193f07fb91
68,a soccer ball in the hoop of a basketball hoop,"Basketball is made of rubber and designed to be both bouncy and rough to be easily grasped, so playing basketball using a soccer ball designed for other purposes is pointless.","[[""Into what is a soccer ball being shot?"", ""a basketball hoop""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/9173fd451bf236fff32d38ba511cf01c3fde0334254ccac37dec0025f8a539d6.png,A soccer ball is being shot into a basketball hoop,,What is the color of the soccer ball that is being shot into the basketball hoop?,Black and white,"[""What is the color of the soccer ball that is being shot into the basketball hoop?"", ""Black and white""]",Into what is a soccer ball being shot?,a basketball hoop,"""Scoring goals and making baskets: A perfect blend of soccer and basketball!""","[""A soccer ball is falling into a basketball hoop."", ""A soccer ball is going through a basketball scoring net."", ""A soccer ball about to go through a basketball hoop"", ""A soccer ball is being shot into a basketball hoop."", ""A soccer ball is being thrown at the net of a basketball hoop.""]",9173fd451bf236fff32d38ba511cf01c3fde0334254ccac37dec0025f8a539d6
69,an ice cream cone with ice cubes in it,"Waffle cones are being used as a container of ice cream, not ice, which is just tasteless frozen water.","[[""What is on top of an ice cream cone?"", ""A large ice cube""], [""What is topped with a large ice cube?"", ""A waffle ice cream cone""], [""What is holding an oversized ice cube?"", ""An ice cream waffle cone""], [""What is on an ice cream cone?"", ""a giant ice cube""], [""What is a waffle ice cream cone topped with?"", ""a large ice cube""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/c8369b64c67fb5e10743a41ec396d4784ac9695bdda2830ebe653de9b7bcd83d.png,A waffle ice cream cone is topped with a large ice cube.,,Does the ice cream cone have any topping other than an ice cube?,No,"[""Does the ice cream cone have any topping other than an ice cube?"", ""No""]",What is on top of an ice cream cone?,A large ice cube,"""An ice-cold twist on a classic treat!""","[""A waffle ice cream cone is topped with a large ice cube."", ""a giant ice cube is on an ice cream cone"", ""A large ice cube is on top of an ice cream cone."", ""An ice cream waffle cone is holding an oversized icecube."", ""A block of ice on top of an ice cream cone.""]",c8369b64c67fb5e10743a41ec396d4784ac9695bdda2830ebe653de9b7bcd83d
